DATE,SP_INDEX
01/09/2001,-0.08172339
01/10/2001,0.018099026
01/11/2001,0.07517598
01/12/2001,0.007573829
01/01/2002,-0.015573828
01/02/2002,-0.020766236
01/03/2002,0.036738861
01/04/2002,-0.061417652
01/05/2002,-0.009081455
01/06/2002,-0.072455348
01/07/2002,-0.079004263
01/08/2002,0.00488142
01/09/2002,-0.110024343
01/10/2002,0.086448827
01/11/2002,0.057069635
01/12/2002,-0.060332582
01/01/2003,-0.027414698
01/02/2003,-0.017003623
01/03/2003,0.008357606
01/04/2003,0.081044118
01/05/2003,0.050898661
01/06/2003,0.011322243
01/07/2003,0.016223704
01/08/2003,0.017873191
01/09/2003,-0.011944326
01/10/2003,0.054961495
01/11/2003,0.007128513
01/12/2003,0.050765451
01/01/2004,0.017276423
01/02/2004,0.01220903
01/03/2004,-0.016358936
01/04/2004,-0.016790829
01/05/2004,0.012083446
01/06/2004,0.017989078
01/07/2004,-0.034290523
01/08/2004,0.002287333
01/09/2004,0.009363906
01/10/2004,0.014014248
01/11/2004,0.038594939
01/12/2004,0.032458128
01/01/2005,-0.025290448
01/02/2005,0.018903384
01/03/2005,-0.019117647
01/04/2005,-0.02010859
01/05/2005,0.029952025
01/06/2005,-0.000142677
01/07/2005,0.035968204
01/08/2005,-0.011222026
01/09/2005,0.00694894
01/10/2005,-0.017740741
01/11/2005,0.035186121
01/12/2005,-0.000952396
01/01/2006,0.025466839
01/02/2006,0.000453097
01/03/2006,0.011095841
01/04/2006,0.01215566
01/05/2006,-0.030916901
01/06/2006,8.6608E-05
01/07/2006,0.005085813
01/08/2006,0.021274263
01/09/2006,0.024566274
01/10/2006,0.031508029
01/11/2006,0.01646661
01/12/2006,0.012615751
01/01/2007,0.014059085
01/02/2007,-0.021846145
01/03/2007,0.009979955
01/04/2007,0.043290683
01/05/2007,0.032549229
01/06/2007,-0.01781631
01/07/2007,-0.031981907
01/08/2007,0.012863592
01/09/2007,0.035794001
01/10/2007,0.014822335
01/11/2007,-0.044043424
01/12/2007,-0.008628489
01/01/2008,-0.061163475
01/02/2008,-0.034761162
01/03/2008,-0.005959583
01/04/2008,0.047546685
01/05/2008,0.010674153
01/06/2008,-0.085962382
01/07/2008,-0.009859375
01/08/2008,0.012190503
01/09/2008,-0.090791453
01/10/2008,-0.169424534
01/11/2008,-0.074849032
01/12/2008,0.007821566
01/01/2009,-0.085657348
01/02/2009,-0.109931225
01/03/2009,0.085404508
01/04/2009,0.093925076
01/05/2009,0.053081427
01/06/2009,0.000195835
01/07/2009,0.074141757
01/08/2009,0.033560173
01/09/2009,0.035723384
01/10/2009,-0.019761986
01/11/2009,0.057363997
01/12/2009,0.017770598
01/01/2010,-0.036974262
01/02/2010,0.028513693
01/03/2010,0.058796368
01/04/2010,0.014759327
01/05/2010,-0.081975916
01/06/2010,-0.053882377
01/07/2010,0.068777833
01/08/2010,-0.047449165
01/09/2010,0.087551104
01/10/2010,0.036855941
01/11/2010,-0.002290283
01/12/2010,0.065300072
01/01/2011,0.02264559
01/02/2011,0.031956583
01/03/2011,-0.001047302
01/04/2011,0.028495358
01/05/2011,-0.013500928
01/06/2011,-0.018257508
01/07/2011,-0.021474437
01/08/2011,-0.056791098
01/09/2011,-0.071762013
01/10/2011,0.107723038
01/11/2011,-0.005058645
01/12/2011,0.008532752
01/01/2012,0.043583015
01/02/2012,0.04058945
01/03/2012,0.031332377
01/04/2012,-0.007497497
01/05/2012,-0.062650671
01/06/2012,0.039554921
01/07/2012,0.012597639
01/08/2012,0.019763362
01/09/2012,0.02423609
01/10/2012,-0.019789404
01/11/2012,0.002846703
01/12/2012,0.007068311
01/01/2013,0.050428064
01/02/2013,0.011060603
01/03/2013,0.035987799
01/04/2013,0.018085764
01/05/2013,0.020762783
01/06/2013,-0.014999325
01/07/2013,0.049462111
01/08/2013,-0.031298013
01/09/2013,0.029749475
01/10/2013,0.04459576
01/11/2013,0.028049461
01/12/2013,0.023562833
01/01/2014,-0.035582895
01/02/2014,0.043117038
01/03/2014,0.006932157
01/04/2014,0.006200797
01/05/2014,0.021030282
01/06/2014,0.019058313
01/07/2014,-0.015079863
01/08/2014,0.037655322
01/09/2014,-0.015513859
01/10/2014,0.023201456
01/11/2014,0.024533584
01/12/2014,-0.004188512
01/01/2015,-0.031040847
01/02/2015,0.054892506
01/03/2015,-0.017396056
01/04/2015,0.008520763
01/05/2015,0.010491439
01/06/2015,-0.021011773
01/07/2015,0.01974204
01/08/2015,-0.062580805
01/09/2015,-0.02644282
01/10/2015,0.082983078
01/11/2015,0.000504963
01/12/2015,-0.017530198
01/01/2016,-0.050735344
01/02/2016,-0.004128355
01/03/2016,0.065991109
01/04/2016,0.00269937
01/05/2016,0.01532465
01/06/2016,0.000910847
01/07/2016,0.035609807
01/08/2016,-0.001219176
01/09/2016,-0.001234483
01/10/2016,-0.019425625
01/11/2016,0.034174447
01/12/2016,0.018200754
01/01/2017,0.017884341
01/02/2017,0.037198261
01/03/2017,-0.00038923
01/04/2017,0.009091217
01/05/2017,0.01157621
01/06/2017,0.004813832
01/07/2017,0.019348769
01/08/2017,0.000546492
01/09/2017,0.019302895
01/10/2017,0.022188175
01/11/2017,0.028082601
01/12/2017,0.00983162
01/01/2018,0.056178725
01/02/2018,-0.03894738
01/03/2018,-0.026884514
01/04/2018,0.002718801
01/05/2018,0.021608353
01/06/2018,0.0048424
01/07/2018,0.036021586
01/08/2018,0.030263219
01/09/2018,0.004294301
01/10/2018,-0.069403359
01/11/2018,0.017859382
01/12/2018,-0.091776956
01/01/2019,0.078684405
01/02/2019,0.02972893
01/03/2019,0.017924288
01/04/2019,0.039313435
01/05/2019,-0.065777726
01/06/2019,0.068930183
01/07/2019,0.013128195
01/08/2019,-0.018091653
01/09/2019,0.017181168
01/10/2019,0.020431747
01/11/2019,0.034047064
01/12/2019,0.028589803
01/01/2020,-0.00162809
01/02/2020,-0.084110469
01/03/2020,-0.125119321
01/04/2020,0.126844103
01/05/2020,0.045281775
01/06/2020,0.018388403
01/07/2020,0.055101297
01/08/2020,0.070064687
01/09/2020,-0.039227954
01/10/2020,-0.027665775
01/11/2020,0.107545658
01/12/2020,0.037121407
01/01/2021,-0.01113664
01/02/2021,0.026091475
01/03/2021,0.042438634
01/04/2021,0.052425313
01/05/2021,0.005486503
01/06/2021,0.022213976
01/07/2021,0.022748109
01/08/2021,0.028990321
01/09/2021,-0.04756914
01/10/2021,0.069143873
01/11/2021,-0.008333731
01/12/2021,0.043612875
01/01/2022,-0.052585089
01/02/2022,-0.031360521
01/03/2022,0.035773239
01/04/2022,-0.087956719
01/05/2022,5.32439E-05
